Designator,Footprint,Quantity,Comment,LCSC Part #
"C1, C13, C17, C21, C24, C26, C27, C28, C29, C31, C32, C33, C35, C39, C43, C5, C9",603,17,100nF,C14663
"C10, C11, C14, C15, C18, C19, C22, C23, C36, C37, C40, C41, C44, C45, C6, C7",603,16,100pF,C14858
"C12, C16, C20, C34, C38, C4, C42, C8",1206,8,100uF,C15008
"C25, C30",603,2,4.7uF,C19666
"J10, J11, J12, J13, J14, J15, J16, J17, J20, J9",PinHeader_1x02_P2.54mm_Vertical,10,Conn_01x02_Pin,C492401
"J18, J19",PinHeader_1x03_P1.27mm_Vertical,2,Conn_01x03_Pin,DNP
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,DNP
"J4, J6",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,DNP
"J7, J8",PinHeader_1x02_P1.27mm_Vertical,2,Conn_01x02_Pin,DNP
"JP1, JP2",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,2,Jumper_3_Bridged12,DNP
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R3, R4, R5, R6, R7, R8, R9",603,22,10K,C25804
U1,SOP-16_3.9x9.9mm_P1.27mm,1,74HC595,C5451631
"U10, U8",TSSOP-20_4.4x6.5mm_P0.65mm,2,STM32C011F6Px,C5456198
"U11, U12, U13, U2, U3, U4, U5, U6",TM_TM1637(TA2007)_SOC-20_12.6x7.5_P1.27_PD0.44x2,8,TM1637,C5337160
"U7, U9",TSSOP-20_4.4x6.5mm_P0.65mm,2,TXS0108E,C17206
